PyroCb Event date and start time,"Multi-pulse pyroCb? 0 = no, 1 = yes ",Estimated pyroCb injection duration (hh:mm) ,Fire Name           (if available),Region,"STATUS                                  C: Confirmed
P: Probable
U: Uncertain             CI: confirmed, incomplete data",Lat,Lon,PyroCb min brightness temp  11um (deg C) ,tropopause height (m),Max smoke injection altitude (m) ,Injection height relative to tropopause (m) ,Minimum Smoke Aerosol Mass Estimate (Tg),Maximum Smoke Aerosol Mass Estimate (Tg),pyroCb event notes,,,
2020-09-05 19:40:00,1,6:00,Creek,CONUS,C,37.20,-119.30,-71.0 ,15257,16600,1343,0.00654,0.030019,"Detailed plume observations available. The cloud moved north-northwest in the first few hours. The NWS office in Hanford, CA reported that two fire tornadoes with winds up to 125 miles per hour were produced by the Creek fire (SOURCE: Washington Post on September 24 and wildfire.com on September 25).",,,
2020-09-05 22:30:00,0,1:00,Cameron Peak,CONUS,C,40.60,-105.90,-40.0 ,14811,10500,-4311,0,0,,,,
2020-09-06 15:40:00,1,3:00,Creek,CONUS,C,37.20,-119.30, -49 ,14160,12000,-2160,0,0,,,,
2020-09-06 21:10:00,1,3:00,Cameron Peak,CONUS,C,40.60,-105.90,-54.4 ,14522,12700,-1822,0,0,,,,
2020-09-06 22:30:00,1,3:00,Cameron Peak,CONUS,C,40.60,-105.90,-56.2 ,14522,13000,-1522,0,0,,,,
2020-09-07 22:50:00,0,1:00,Creek,CONUS,C,37.20,-119.30,-42,14464,10600,-3864,0,0,Small puff that moved south initially. That fire produced a lot of lower level smoke.,,,
2020-09-08 16:20:00,0,1:00,Hopkins (later amalgamated in the Elkhorn fire),CONUS,C,40.20,-123.10,-52.1,15601,11900,-3701,0,0,Small puff that moved southwest initially. That fire produced a lot of low level smoke.,,,
2020-09-09 10:10:00,1,3:00,Bear (North Complex),CONUS,C,39.80,-121.10,-77.1,12056,17200,5144,0.00774,0.02164,"The three puffs moved south-southeast in the first few hours. Much smoke was produced by fires in California, but uncertain how much came from that pyroCb.",,,
2020-09-19 19:00:00,1,3:00,Mullen,CONUS,C,41.20,-106.40,-51.7,13433,12100,-1333,0,0,"Smoke from fires in the western USA was also present at lower levels and contributed to the max AI value. CALIPSO detected the aerosols from this blowup at an altitude of 12 km over Manitoba, on a long path extending from 51.0 N, 95.8 W to 55.0 N, 97.7 N at 19:48 UTC, 20 September. Backward trajectories from that location generally point in time and space to this blowup.",,,
2020-10-06 18:45:00,0,1:00,SQF Complex,CONUS,C,36.40,-118.70,-50.9,12710,12200,-510,0.0039455,0.007344,"Short duration puff that moved northeast initially.  The BaigoHSRL LIDAR in Madison, WI detected the aerosols at 11 km from 22 UTC, 8 October to 04 UTC, 9 October. Back trajectories point back in time and space to this blowup.  ",,,
2020-10-22 00:00:00,1,3:00,East Troublesome,CONUS,C,40.20,-106.20,-71.5,13586,13400,-186,0.0039455,0.007344,"The Denver radar detected max tops at 45K feet (13.6 km). The plume moved east-northeast initially,  reaching central Ontario and southern Quebec on 22 October. It moved across the Atlantic Ocean on 23 October and reached Europe on 24 October. CALIPSO detected the plume on multiple days following the blowup: over Nebraska at 14.0 km around 09:10 UTC, 22 October, south of Newfoundland at 14.0 km around 06:35 UTC, October 23 and over the Atlantic (~42N, ~35W) at 14.5 km around 15:50 UTC, October 23.  The plume circumnavigated the mid-latitudes in 10 days and was detected at 11 km on the morning of 1 November by the LIDARs in Oklahoma (36.6N, 97.3W) and Wisconsin (43.1 N, 89.4 W).",,,
2020-10-22 18:15:00,1,3:00,East Troublesome,CONUS,C,40.20,-106.20,-62.8,10964,12800,1836,0.00774,0.02164,The Denver radar detected max tops at 35K feet.,,,
